Source?,Date (MSM time) (MM/DD/YYYY),Time since reset (HH:MM:SS),"Day? (Local, 6am-8pm)","Night? (Local, 6am-8pm)",Torches Lit,Island,Titan skin?,Parent 1 Species,Parent 1 Level,Parent 2 Species,Parent 2 Level,Result Monster
themixedmaster,8/10/2025,,False,False,10.0,M Cold,False,Mammott,20,Toe Jammer,20,Maw
themixedmaster,8/10/2025,,False,False,10.0,M Air,False,Rare PomPom,20,Fwog,20,PomPom
themixedmaster,8/10/2025,,False,False,10.0,M Earth,False,Rare PomPom,20,Rare Furcorn,20,PomPom
themixedmaster,8/10/2025,,False,False,10.0,M Psychic,False,Periscorp,20,Rare Bonkers,20,Boo'qwurm
themixedmaster,8/10/2025,,False,False,10.0,M Faerie,False,Rare Bridg-it,20,Rare Clavi Gnat,20,Clavi Gnat
themixedmaster,8/11/2025,,False,False,10.0,Sanctum,False,Enchantling,20,Cahoot,20,Cahoot
themixedmaster,8/11/2025,,False,False,10.0,Plant,True,Rare Pummel,20,Rare Maw,20,Pummel
themixedmaster,8/11/2025,,False,False,10.0,Cold,False,Rare Tweedle,20,Rare Toe Jammer,20,Quibble
themixedmaster,8/11/2025,,False,False,10.0,Air,True,Rare Noggin,20,Rare T-Rox,20,T-Rox
themixedmaster,8/11/2025,,False,False,10.0,Water,False,Rare Shrubb,20,Rare Scups,20,Shrubb
themixedmaster,8/11/2025,,False,False,10.0,Haven,False,Rare Floogull,20,Rare Flowah,20,Floogull
themixedmaster,8/11/2025,,False,False,10.0,Oasis,False,Sneyser,19,Glowl,20,Glowl
themixedmaster,8/11/2025,,False,False,10.0,Psychic,False,Gloptic,20,Kayna,20,Kayna
themixedmaster,8/11/2025,,False,False,10.0,Faerie,False,Pladdie,20,Rare Floot Fly,20,Floot Fly
themixedmaster,8/11/2025,,True,False,10.0,Bone,False,Plinkajou,20,Rare Withur,20,Withur
themixedmaster,8/11/2025,,False,False,10.0,M Plant,False,Entbrat,19,Rare Entbrat,19,Entbrat
themixedmaster,8/11/2025,,False,False,10.0,M Cold,False,Toe Jammer,20,Rare Tweedle,20,Quibble
themixedmaster,8/11/2025,,False,False,10.0,M Psychic,False,Gloptic,20,Kayna,20,Kayna
themixedmaster,8/11/2025,,False,False,10.0,M Faerie,False,Rare Bridg-it,20,Rare Clavi Gnat,20,Clavi Gnat
themixedmaster,8/11/2025,,False,False,10.0,M Air,False,Rare Toe Jammer,20,Rare Tweedle,20,Quibble
themixedmaster,8/11/2025,,False,False,10.0,Faerie,False,Pladdie,20,Rare Floot Fly,20,Floot Fly
themixedmaster,8/11/2025,,False,False,10.0,Water,False,Shellbeat,19,Rare Shellbeat,19,Shellbeat
themixedmaster,8/11/2025,,False,False,10.0,Psychic,False,Gloptic,20,Kayna,20,Kayna
themixedmaster,8/11/2025,,False,False,10.0,M Psychic,False,Gloptic,20,Kayna,20,Kayna
themixedmaster,8/11/2025,,False,False,10.0,Faerie,False,Pladdie,20,Rare Floot Fly,20,Floot Fly
themixedmaster,8/11/2025,,False,False,10.0,Oasis,False,Sneyser,19,Glowl,20,Glowl
themixedmaster,8/11/2025,,False,False,10.0,Faerie,False,Pladdie,20,Rare Floot Fly,20,Floot Fly
themixedmaster,8/11/2025,,False,False,10.0,Psychic,False,Gloptic,20,Kayna,20,Kayna
themixedmaster,8/11/2025,,False,False,10.0,M Psychic,False,Gloptic,20,Kayna,20,Kayna
themixedmaster,8/11/2025,,False,False,10.0,M Faerie,False,Rare Bridg-it,20,Rare Clavi Gnat,20,Bridg-it
themixedmaster,8/12/2025,,False,False,10.0,Haven,False,Rare Floogull,20,Rare Flowah,20,Flowah
themixedmaster,8/12/2025,,False,False,10.0,Oasis,False,Sneyser,19,Glowl,20,Glowl
themixedmaster,8/12/2025,,False,False,10.0,Psychic,False,Gloptic,20,Kayna,20,Kayna
themixedmaster,8/12/2025,,False,False,10.0,Faerie,False,Pladdie,20,Rare Floot Fly,20,Floot Fly
themixedmaster,8/12/2025,,False,False,10.0,Sanctum,False,Rare Larvaluss,20,Rare Frondley,20,Frondley
themixedmaster,8/12/2025,,False,False,10.0,M Water,False,Rare Spunge,20,Cybop,20,Cybop
themixedmaster,8/12/2025,,False,False,10.0,M Psychic,False,Gloptic,20,Kayna,20,Epic Bisonorus
themixedmaster,8/12/2025,,False,False,10.0,Water,False,Rare Spunge,20,Cybop,20,Cybop
themixedmaster,8/12/2025,,False,False,10.0,Faerie,False,Pladdie,20,Rare Floot Fly,20,Floot Fly
themixedmaster,8/12/2025,,False,False,10.0,M Faerie,False,Rare Bridg-it,20,Rare Clavi Gnat,20,Rare Clavi Gnat
themixedmaster,8/12/2025,,False,False,10.0,Psychic,False,Gloptic,20,Kayna,20,Kayna
themixedmaster,8/12/2025,,True,False,10.0,Bone,False,Plinkajou,20,Rare Withur,20,Withur
themixedmaster,8/12/2025,,False,False,10.0,M Water,False,Rare Spunge,20,Cybop,20,Spunge
themixedmaster,8/12/2025,,False,False,10.0,Haven,False,Rare Floogull,20,Rare Flowah,20,Floogull
themixedmaster,8/12/2025,,False,False,10.0,Oasis,False,Sneyser,19,Glowl,20,Glowl
themixedmaster,8/12/2025,,False,False,10.0,Psychic,False,Gloptic,20,Kayna,20,Kayna
themixedmaster,8/12/2025,,False,False,10.0,Faerie,False,Pladdie,20,Rare Floot Fly,20,Pladdie
themixedmaster,8/12/2025,,False,False,10.0,Water,False,Rare Spunge,20,Cybop,20,Cybop
