Source?,Date (MSM time) (MM/DD/YYYY),"Day? (Local, 6am-8pm)","Night? (Local, 6am-8pm)",Torches Lit,Island,Titan skin?,Parent 1 Species,Parent 1 Level,Parent 2 Species,Parent 2 Level,Result Monster
Player1,8/10/2025,False,False,10,M Cold,False,Mammott,20,Toe Jammer,20,Maw
Player1,8/10/2025,False,False,10,M Air,False,Rare PomPom,20,Fwog,20,PomPom
Player1,8/10/2025,False,False,10,M Earth,False,Rare PomPom,20,Rare Furcorn,20,PomPom
Player1,8/10/2025,False,False,10,M Psychic,False,Periscorp,20,Rare Bonkers,20,Boo'qwurm
Player1,8/10/2025,False,False,10,M Faerie,False,Rare Bridg-it,20,Rare Clavi Gnat,20,Clavi Gnat
Player1,8/11/2025,False,False,10,Sanctum,False,Enchantling,20,Cahoot,20,Cahoot
Player1,8/11/2025,False,False,10,Plant,True,Rare Pummel,20,Rare Maw,20,Pummel
Player1,8/11/2025,False,False,10,Cold,False,Rare Tweedle,20,Rare Toe Jammer,20,Quibble
Player1,8/11/2025,False,False,10,Air,True,Rare Noggin,20,Rare T-Rox,20,T-Rox
Player1,8/11/2025,False,False,10,Water,False,Rare Shrubb,20,Rare Scups,20,Shrubb
Player1,8/11/2025,False,False,10,Haven,False,Rare Floogull,20,Rare Flowah,20,Floogull
Player1,8/11/2025,False,False,10,Oasis,False,Sneyser,19,Glowl,20,Glowl
Player1,8/11/2025,False,False,10,Psychic,False,Gloptic,20,Kayna,20,Kayna
Player1,8/11/2025,False,False,10,Faerie,False,Pladdie,20,Rare Floot Fly,20,Floot Fly
Player1,8/11/2025,True,False,10,Bone,False,Plinkajou,20,Rare Withur,20,Withur
Player1,8/11/2025,False,False,10,M Plant,False,Entbrat,19,Rare Entbrat,19,Entbrat
Player1,8/11/2025,False,False,10,M Cold,False,Toe Jammer,20,Rare Tweedle,20,Quibble
Player1,8/11/2025,False,False,10,M Psychic,False,Gloptic,20,Kayna,20,Kayna
Player1,8/11/2025,False,False,10,M Faerie,False,Rare Bridg-it,20,Rare Clavi Gnat,20,Clavi Gnat
Player1,8/11/2025,False,False,10,M Air,False,Rare Toe Jammer,20,Rare Tweedle,20,Quibble
Player1,8/11/2025,False,False,10,Faerie,False,Pladdie,20,Rare Floot Fly,20,Floot Fly
Player1,8/11/2025,False,False,10,Water,False,Shellbeat,19,Rare Shellbeat,19,Shellbeat
Player1,8/11/2025,False,False,10,Psychic,False,Gloptic,20,Kayna,20,Kayna
Player1,8/11/2025,False,False,10,M Psychic,False,Gloptic,20,Kayna,20,Kayna
Player1,8/11/2025,False,False,10,Faerie,False,Pladdie,20,Rare Floot Fly,20,Floot Fly
Player1,8/11/2025,False,False,10,Oasis,False,Sneyser,19,Glowl,20,Glowl
Player1,8/11/2025,False,False,10,Faerie,False,Pladdie,20,Rare Floot Fly,20,Floot Fly
Player1,8/11/2025,False,False,10,Psychic,False,Gloptic,20,Kayna,20,Kayna
Player1,8/11/2025,False,False,10,M Psychic,False,Gloptic,20,Kayna,20,Kayna
Player1,8/11/2025,False,False,10,M Faerie,False,Rare Bridg-it,20,Rare Clavi Gnat,20,Bridg-it
Player1,8/12/2025,False,False,10,Haven,False,Rare Floogull,20,Rare Flowah,20,Flowah
Player1,8/12/2025,False,False,10,Oasis,False,Sneyser,19,Glowl,20,Glowl
Player1,8/12/2025,False,False,10,Psychic,False,Gloptic,20,Kayna,20,Kayna
Player1,8/12/2025,False,False,10,Faerie,False,Pladdie,20,Rare Floot Fly,20,Floot Fly
Player1,8/12/2025,False,False,10,Sanctum,False,Rare Larvaluss,20,Rare Frondley,20,Frondley
Player1,8/12/2025,False,False,10,M Water,False,Rare Spunge,20,Cybop,20,Cybop
Player1,8/12/2025,False,False,10,M Psychic,False,Gloptic,20,Kayna,20,Epic Bisonorus
Player1,8/12/2025,False,False,10,Water,False,Rare Spunge,20,Cybop,20,Cybop
Player1,8/12/2025,False,False,10,Faerie,False,Pladdie,20,Rare Floot Fly,20,Floot Fly
Player1,8/12/2025,False,False,10,M Faerie,False,Rare Bridg-it,20,Rare Clavi Gnat,20,Rare Clavi Gnat
Player1,8/12/2025,False,False,10,Psychic,False,Gloptic,20,Kayna,20,Kayna
Player1,8/12/2025,True,False,10,Bone,False,Plinkajou,20,Rare Withur,20,Withur
Player1,8/12/2025,False,False,10,M Water,False,Rare Spunge,20,Cybop,20,Spunge
Player1,8/12/2025,False,False,10,Haven,False,Rare Floogull,20,Rare Flowah,20,Floogull
Player1,8/12/2025,False,False,10,Oasis,False,Sneyser,19,Glowl,20,Glowl
Player1,8/12/2025,False,False,10,Psychic,False,Gloptic,20,Kayna,20,Kayna
Player1,8/12/2025,False,False,10,Faerie,False,Pladdie,20,Rare Floot Fly,20,Pladdie
Player1,8/12/2025,False,False,10,Water,False,Rare Spunge,20,Cybop,20,Cybop
Player1,8/12/2025,False,False,10,Psychic,False,Gloptic,20,Kayna,20,Kayna
Player1,8/12/2025,False,True,10,M Bone,False,Plinkajou,20,Rare Uuduk,20,Uuduk
Player1,8/12/2025,False,False,10,M Water,False,Rare Spunge,20,Cybop,20,Spunge
Player1,8/13/2025,False,False,10,Water,False,Rare Spunge,20,Cybop,20,Cybop
Player1,8/13/2025,False,False,10,Psychic,False,Gloptic,20,Kayna,20,Kayna
Player1,8/13/2025,True,False,10,Bone,False,Plinkajou,20,Rare Withur,20,Withur
Player1,8/13/2025,False,False,10,Sanctum,False,Rare Larvaluss,20,Rare Frondley,20,Rare Larvaluss
Player1,8/13/2025,False,False,10,M Water,False,Rare Spunge,20,Cybop,20,Cybop
Player1,8/13/2025,False,False,10,M Faerie,False,Rare Bridg-it,20,Rare Clavi Gnat,20,Bridg-it
Player1,8/13/2025,False,False,10,Haven,False,Tring,19,Barrb,15,Barrb
Player1,8/13/2025,False,False,10,Psychic,False,Gloptic,20,Kayna,20,Kayna
Player1,8/13/2025,False,False,10,M Water,False,Shellbeat,19,Rare Shellbeat,19,Shellbeat
Player1,8/13/2025,False,False,10,Water,False,Rare Spunge,20,Cybop,20,Spunge
Player1,8/13/2025,False,False,10,Psychic,False,Gloptic,20,Kayna,20,Kayna
Player1,8/13/2025,False,False,10,Psychic,False,Gloptic,20,Kayna,20,Kayna
Player1,8/13/2025,False,False,10,Faerie,False,Rare Bridg-it,20,Rare Clavi Gnat,20,Bridg-it
Player1,8/13/2025,False,True,10,Bone,False,Plinkajou,20,Rare Withur,20,Withur
Player1,8/13/2025,False,False,10,Water,False,Rare Spunge,20,Cybop,20,Cybop
